name,lon,lat,region,vs30,SDC,risk_target,ratio_Dmax,ratio_Dmin,frer_ratio_sds,frer_ratio_sd1,Sdsfr,Sd1fr,s1,sds,sd1
Los Angeles,-118.25,34.05,so cal,760,D,0.5,0.96,2.7,0.192600153150834,0.16338980818082,0.260010206753626,0.0784271079267935,0.72,1.35,0.48
Northridge,-118.55,34.2,so cal,760,D,0.5,0.933333333333333,2.52,0.244509927227441,0.184758172833008,0.308082508306575,0.0868363412315139,0.7,1.26,0.47
Long Beach,-118.2,33.8,so cal,760,E,0.5,1,2.5,0.189720704015789,0.165784997694292,0.216281602577999,0.0828924988471461,0.75,1.14,0.5
Oakland,-122.25,37.8,norcal,760,D,0.5,0.96,2.48,0.261085275943431,0.202256496958497,0.323745742169854,0.0970831185400783,0.72,1.24,0.48
San Mateo,-122.3,37.55,norcal,760,E,0.5,1.08,2.7,0.214187497466986,0.156011478200697,0.269876246808403,0.0842461982283766,0.81,1.26,0.54
Los Angeles,-118.25,34.05,so cal,265,D,0.1,0.96,5.55,0.767420017592215,0.607311716019122,1.16647842674017,0.674116004781225,0.72,1.52,1.11
Northridge,-118.55,34.2,so cal,265,D,0.1,0.933333333333333,5.5,0.934908901870586,0.654452546602994,1.29017428458141,0.719897801263293,0.7,1.38,1.1
Long Beach,-118.2,33.8,so cal,265,E,0.1,1,5.25,0.755724871298443,0.578806742919447,0.997556830113944,0.60774708006542,0.75,1.32,1.05
Oakland,-122.25,37.8,norcal,265,D,0.1,0.96,5.65,1.02316580952734,0.762442805667259,1.38127384286191,0.861560370404002,0.72,1.35,1.13
San Mateo,-122.3,37.55,norcal,265,E,0.1,1.08,7.65,0.86103249400139,0.519590538646681,1.23127646642199,0.794973524129421,0.81,1.43,1.53
Los Angeles,-118.25,34.05,so cal,265,D,0.15,0.96,5.55,0.621308790007168,0.474545285497296,0.944389360810895,0.526745266901999,0.72,1.52,1.11
Northridge,-118.55,34.2,so cal,265,D,0.15,0.933333333333333,5.5,0.762792346295344,0.516640255934097,1.05265343788757,0.568304281527507,0.7,1.38,1.1
