name,lon,lat,region,SDC_vs30_530,s1_vs30_530,sds_vs30_530,sd1_vs30_530,Sdsfr_vs30_530_beta_0p5,Sd1fr_vs30_530_beta_0p5,Sdsfr_vs30_530_beta_0p6,Sd1fr_vs30_530_beta_0p6,Sdsfr_vs30_530_beta_0p7,Sd1fr_vs30_530_beta_0p7,Sdsfr_vs30_530_beta_1p0,Sd1fr_vs30_530_beta_1p0,SDC_vs30_760,s1_vs30_760,sds_vs30_760,sd1_vs30_760,Sdsfr_vs30_760_beta_0p5,Sd1fr_vs30_760_beta_0p5,Sdsfr_vs30_760_beta_0p6,Sd1fr_vs30_760_beta_0p6,Sdsfr_vs30_760_beta_0p7,Sd1fr_vs30_760_beta_0p7,Sdsfr_vs30_760_beta_1p0,Sd1fr_vs30_760_beta_1p0,SDC_vs30_265,s1_vs30_265,sds_vs30_265,sd1_vs30_265,Sdsfr_vs30_265_beta_0p5,Sd1fr_vs30_265_beta_0p5,Sdsfr_vs30_265_beta_0p6,Sd1fr_vs30_265_beta_0p6,Sdsfr_vs30_265_beta_0p7,Sd1fr_vs30_265_beta_0p7,Sdsfr_vs30_265_beta_1p0,Sd1fr_vs30_265_beta_1p0
Morgan Hill CA,-121.65,37.15,nor cal,D,0.68,1.38,0.65,1.40513065912,0.552312427940916,1.46313946460984,0.566178772784202,1.54607425234977,0.588470153180812,1.96556798715573,0.711898227387898,D,0.68,1.18,0.45,1.19861855191243,0.383115200567507,1.24418976390218,0.392575261440629,1.31037883731356,0.407935430579961,1.64917049939072,0.492933099467039,D,0.68,1.3,1.13,1.48100060196574,0.93446344284111,1.5620335541705,0.962499340465757,1.67275204114484,1.00574780056502,2.21380601430256,1.23801124179978
Northridge CA,-118.55,34.2,so cal,D,0.7,1.45,0.66,1.06411254689783,0.392535553080164,1.09693584607576,0.40025829767955,1.14651575067463,0.413735202069653,1.40558581526462,0.492774688216307,D,0.7,1.26,0.47,0.898713278301971,0.276924604141814,0.923705919095137,0.282226788021826,0.962550697788329,0.291676683208585,1.16948226366587,0.347142373186925,D,0.7,1.38,1.1,1.16947769919702,0.676402570310944,1.2195226924239,0.692871788716374,1.29017428458141,0.719897801263293,1.64237504214079,0.87170406951117
Oakland CA,-122.25,37.8,nor cal,D,0.72,1.44,0.69,1.17689570042622,0.481305894885062,1.20809497820643,0.488679077599386,1.25689032760467,0.502574044310588,1.51710567407741,0.586852926420489,D,0.72,1.24,0.48,1.00316000689815,0.334094619206619,1.02660363946076,0.339114653010021,1.06464877816852,0.348672765275402,1.27269363912299,0.406713125147679,D,0.72,1.35,1.13,1.26042464662914,0.817219948437889,1.31027267502042,0.833492345968566,1.38127384286191,0.861560370404002,1.73630063250691,1.02278506666028
Palmdale CA,-118,34.5,so cal,E,1.18,2.02,1.12,1.33696973399153,0.646879821415768,1.33093854028184,0.635791655401703,1.34134730481303,0.631844008587064,1.48212158056264,0.667486188129712,E,1.18,1.73,0.78,1.18420446928947,0.450478221403146,1.17389206146501,0.442676727424532,1.17735787341283,0.439818111577798,1.27892049211098,0.463905520229628,E,1.18,1.79,2.19,1.31901985868399,1.04155300254569,1.32864324752694,1.02156349351415,1.35753147037861,1.01331809160558,1.60191817506979,1.10323161562509
Palm Springs CA,-116.55,33.85,so cal,E,0.79,1.46,0.76,1.04547276007473,0.423785197196821,1.07472346698316,0.428461461376818,1.12163730166204,0.439439417876178,1.38314305234541,0.515476170548905,E,0.79,1.26,0.53,0.885744378538516,0.29403871642562,0.907262632758867,0.297158436434428,0.943287431884068,0.30461012679167,1.15001423558156,0.35676836493274,E,0.79,1.4,1.42,1.14656128861753,0.72340886149368,1.19504679925098,0.735592348388231,1.26563062513228,0.759310143828623,1.63330621196762,0.909690746401349
Pasadena CA,-118.15,34.15,so cal,E,0.76,1.6,0.73,0.962553599362631,0.379441281256795,0.983145112311025,0.3844755284588,1.01928721558859,0.395210992000939,1.23099491772217,0.465462790834969,E,0.76,1.42,0.51,0.816404356059251,0.26331690862094,0.830822377588838,0.266730416982892,0.858085427188794,0.274009173820933,1.02454110993156,0.322199367939266,E,0.76,1.55,1.17,1.06468672922128,0.653938611231242,1.1040421946616,0.666302637242804,1.16286924138958,0.68902588700686,1.47318746642632,0.827291487233455
Redding CA,-122.4,40.6,nor cal,D,0.43,0.92,0.4,0.537506037375848,0.203901074969918,0.546867657326453,0.208093953299322,0.564476176291157,0.215705623054309,0.672733902265002,0.262397592847005,D,0.43,0.76,0.28,0.43643906928411,0.143413382524547,0.443235368485706,0.146166807978243,0.456647804415902,0.151214836598416,0.541014607604972,0.183078697274657,D,0.43,1.02,0.65,0.650192809479075,0.357599469951954,0.67018144095175,0.367411076899437,0.701727635830808,0.383597318776949,0.876271655293733,0.476680301167801
Riverside CA,-117.4,33.95,so cal,D,0.58,1.03,0.55,0.916587849912425,0.346593040183997,0.953827474569938,0.356572807655062,1.00721605315115,0.372218227462031,1.27744826870145,0.458202433460057,D,0.58,0.9,0.38,0.7624144284632,0.239933198628215,0.791565780582208,0.246775769228405,0.833856522080587,0.25754138831922,1.04985178410092,0.316623298425906,D,0.58,1.1,0.97,1.06176446792053,0.613352753862503,1.11642628126159,0.633661436237198,1.19185839374561,0.664522510762809,1.57013754991658,0.829660600915038
Sacramento CA,-121.5,38.6,nor cal,D,0.24,0.48,0.23,0.324359194312425,0.152494426436934,0.338417492660498,0.159683537043972,0.358664510306767,0.169809790208818,0.46311971349925,0.222052579159803,C,0.24,0.39,0.16,0.258947511887715,0.106070713121818,0.269956578017226,0.110822261612504,0.285858321187656,0.117830212439368,0.368097343572258,0.15360750152657,D,0.24,0.65,0.42,0.4669904296683,0.284815478584798,0.491385545862079,0.298957643388057,0.525554267908273,0.318972019987999,0.698972653624997,0.421284216394696
Santa Barbara CA,-119.7,34.45,so cal,E,0.87,1.6,0.81,0.891386585620729,0.380003165621817,0.896098078039096,0.380818578721609,0.912184064531927,0.386465258581198,1.03260126194365,0.435110489039979,E,0.87,1.42,0.58,0.760714078536996,0.270034842469236,0.762202719093495,0.270544691760258,0.773167390341619,0.274477187827637,0.865575798463667,0.308790942891149,E,0.87,1.52,1.26,0.968978580248309,0.644844455116773,0.987997448454209,0.649323905357589,1.02122039117467,0.662454633493115,1.21536064414689,0.75988105039275
